rotulo fase id_evento id_estrutura tempo endereco tamanho
E 0 11802 2 2.874248901 140732763756832 32
E 0 11803 2 2.874249382 140732763782432 32
E 0 11804 2 2.874250454 140732763760032 32
E 0 11805 2 2.874250935 140732763779232 32
E 0 11806 2 2.874251796 140732763763232 32
E 0 11807 2 2.874252287 140732763776032 32
E 0 11808 2 2.874256816 140732762595232 32
E 0 11809 2 2.874257317 140732763750432 32
E 0 11810 2 2.874258148 140732762598432 32
E 0 11811 2 2.874258639 140732763747232 32
E 0 11812 2 2.874260954 140732762627232 32
E 0 11813 2 2.874261435 140732763744032 32
E 0 11814 2 2.874262056 140732762630432 32
E 0 11815 2 2.874262667 140732763740832 32
E 0 11816 2 2.874264621 140732762652832 32
E 0 11817 2 2.874265112 140732763737632 32
E 0 11818 2 2.874266043 140732762656032 32
E 0 11819 2 2.874266675 140732763734432 32
E 0 11820 2 2.874267767 140732762659232 32
E 0 11821 2 2.874268338 140732763731232 32
E 0 11822 2 2.874269320 140732762668832 32
E 0 11823 2 2.874269941 140732763728032 32
E 0 11824 2 2.874271163 140732762675232 32
E 0 11825 2 2.874271634 140732763724832 32
E 0 11826 2 2.874273287 140732762691232 32
E 0 11827 2 2.874273818 140732763715232 32
E 0 11828 2 2.874275822 140732762713632 32
E 0 11829 2 2.874276433 140732763708832 32
E 0 11830 2 2.874277545 140732762720032 32
E 0 11831 2 2.874278156 140732763705632 32
E 0 11832 2 2.874279269 140732762729632 32
E 0 11833 2 2.874279750 140732763702432 32
E 0 11834 2 2.874281172 140732762739232 32
E 0 11835 2 2.874281643 140732763696032 32
E 0 11836 2 2.874282896 140732762748832 32
E 0 11837 2 2.874283376 140732763692832 32
E 0 11838 2 2.874285521 140732762784032 32
E 0 11839 2 2.874286001 140732763689632 32
E 0 11840 2 2.874286813 140732762787232 32
E 0 11841 2 2.874287294 140732763680032 32
E 0 11842 2 2.874288727 140732762812832 32
E 0 11843 2 2.874289208 140732763673632 32
E 0 11844 2 2.874290650 140732762832032 32
E 0 11845 2 2.874291161 140732763667232 32
E 0 11846 2 2.874292784 140732762851232 32
E 0 11847 2 2.874293265 140732763664032 32
E 0 11848 2 2.874294017 140732762854432 32
E 0 11849 2 2.874294508 140732763660832 32
E 0 11850 2 2.874295389 140732762860832 32
E 0 11851 2 2.874296021 140732763657632 32
E 0 11852 2 2.874297393 140732762873632 32
E 0 11853 2 2.874297884 140732763654432 32
E 0 11854 2 2.874299006 140732762876832 32
E 0 11855 2 2.874299617 140732763651232 32
E 0 11856 2 2.874300559 140732762880032 32
E 0 11857 2 2.874301180 140732763648032 32
E 0 11858 2 2.874309797 140732762889632 32
E 0 11859 2 2.874310358 140732763644832 32
E 0 11860 2 2.874311330 140732762892832 32
E 0 11861 2 2.874311811 140732763641632 32
E 0 11862 2 2.874313854 140732762918432 32
E 0 11863 2 2.874314345 140732763638432 32
E 0 11864 2 2.874315367 140732762924832 32
E 0 11865 2 2.874315888 140732763628832 32
E 0 11866 2 2.874316790 140732762931232 32
E 0 11867 2 2.874317281 140732763625632 32
E 0 11868 2 2.874318904 140732762956832 32
E 0 11869 2 2.874319385 140732763622432 32
E 0 11870 2 2.874320076 140732762960032 32
E 0 11871 2 2.874320557 140732763619232 32
E 0 11872 2 2.874321439 140732762966432 32
E 0 11873 2 2.874321930 140732763616032 32
E 0 11874 2 2.874322832 140732762969632 32
E 0 11875 2 2.874323463 140732763612832 32
E 0 11876 2 2.874324765 140732762985632 32
E 0 11877 2 2.874325246 140732763609632 32
E 0 11878 2 2.874326438 140732762998432 32
E 0 11879 2 2.874326919 140732763603232 32
E 0 11880 2 2.874327771 140732763008032 32
E 0 11881 2 2.874328262 140732763596832 32
E 0 11882 2 2.874329174 140732763014432 32
E 0 11883 2 2.874329785 140732763593632 32
E 0 11884 2 2.874331298 140732763030432 32
E 0 11885 2 2.874331929 140732763590432 32
E 0 11886 2 2.874333201 140732763040032 32
E 0 11887 2 2.874333833 140732763577632 32
E 0 11888 2 2.874335896 140732763065632 32
E 0 11889 2 2.874336738 140732763574432 32
E 0 11890 2 2.874338101 140732763072032 32
E 0 11891 2 2.874338752 140732763561632 32
E 0 11892 2 2.874341006 140732763091232 32
E 0 11893 2 2.874341587 140732763558432 32
E 0 11894 2 2.874342579 140732763097632 32
E 0 11895 2 2.874343170 140732763555232 32
E 0 11896 2 2.874344823 140732763110432 32
E 0 11897 2 2.874345415 140732763552032 32
E 0 11898 2 2.874347308 140732763136032 32
E 0 11899 2 2.874347969 140732763548832 32
E 0 11900 2 2.874349723 140732763155232 32
E 0 11901 2 2.874350414 140732763545632 32
E 0 11902 2 2.874351616 140732763164832 32
E 0 11903 2 2.874352127 140732763536032 32
E 0 11904 2 2.874353560 140732763177632 32
E 0 11905 2 2.874354121 140732763532832 32
E 0 11906 2 2.874354963 140732763180832 32
E 0 11907 2 2.874355544 140732763529632 32
E 0 11908 2 2.874357468 140732763203232 32
E 0 11909 2 2.874358049 140732763526432 32
E 0 11910 2 2.874359031 140732763206432 32
E 0 11911 2 2.874359602 140732763523232 32
E 0 11912 2 2.874362467 140732763241632 32
E 0 11913 2 2.874363048 140732763520032 32
E 0 11914 2 2.874364511 140732763260832 32
E 0 11915 2 2.874365062 140732763516832 32
E 0 11916 2 2.874366224 140732763270432 32
E 0 11917 2 2.874366966 140732763510432 32
E 0 11918 2 2.874368368 140732763286432 32
E 0 11919 2 2.874369010 140732763507232 32
E 0 11920 2 2.874370282 140732763292832 32
